Name,Latitude,Longitude,Direction,People Waiting
EGLINTON AVE WEST AT RUSSELL HILL RD,43.703225,-79.415404,westbound,13
EGLINTON AVE WEST AT RUSSELL HILL RD EAST SIDE,43.703134,-79.415151,eastbound,5
EGLINTON AVE WEST AT HEDDINGTON AVE,43.703573,-79.413714,westbound,17
EGLINTON AVE WEST AT TARLTON RD,43.703485,-79.413342,eastbound,19
EGLINTON AVE WEST AT CASTLE KNOCK RD,43.704064,-79.4114,westbound,13
EGLINTON AVE WEST AT ELMSTHORPE AVE,43.703986,-79.411032,eastbound,9
EGLINTON AVE WEST AT BRAEMAR AVE WEST SIDE,43.704426,-79.409947,westbound,10
EGLINTON AVE WEST AT AVENUE RD EAST SIDE,43.704641,-79.407957,eastbound,5
EGLINTON AVE WEST AT ORIOLE PKWY EAST SIDE,43.705148,-79.405541,westbound,20
EGLINTON AVE WEST AT LASCELLES BLVD,43.705725,-79.403558,westbound,11
EGLINTON AVE WEST AT LASCELLES BLVD EAST SIDE,43.705641,-79.403203,eastbound,4
EGLINTON AVE WEST AT HENNING AVE,43.706201,-79.401309,westbound,20
EGLINTON AVE WEST AT DUPLEX AVE,43.706175,-79.400656,eastbound,13
EGLINTON AVE EAST AT DUNFIELD AVE,43.707208,-79.395605,eastbound,1
EGLINTON AVE EAST AT DUNFIELD AVE,43.707461,-79.395252,westbound,4
EGLINTON AVE EAST AT REDPATH AVE,43.707755,-79.392936,eastbound,11
EGLINTON AVE EAST AT REDPATH AVE,43.707987,-79.392646,westbound,11
EGLINTON AVE EAST AT RAWLINSON AVE WEST SIDE,43.708849,-79.388416,westbound,18
EGLINTON AVE EAST AT FALCON ST,43.70884,-79.387668,eastbound,11
EGLINTON AVE EAST AT FALCON ST WEST SIDE,43.709168,-79.386703,westbound,8
EGLINTON AVE EAST AT FORMAN AVE,43.709106,-79.38633,eastbound,20
EGLINTON AVE EAST AT PETMAN AVE,43.709591,-79.384625,eastbound,8
EGLINTON AVE EAST AT BANFF RD,43.709914,-79.382341,westbound,15
EGLINTON AVE EAST AT BANFF RD,43.710122,-79.38211,eastbound,14
EGLINTON AVE EAST AT BRUCE PARK AVE,43.710528,-79.38007,westbound,7
EGLINTON AVE EAST AT HOYLE AVE,43.710446,-79.379721,eastbound,2
EGLINTON AVE EAST AT BAYVIEW AVE,43.711241,-79.376822,westbound,6
EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,43.711112,-79.376375,eastbound,16
EGLINTON AVE EAST AT BESSBOROUGH DR WEST SIDE,43.711713,-79.37437,westbound,1
EGLINTON AVE EAST AT HANNA RD,43.712182,-79.371913,westbound,4
EGLINTON AVE EAST AT HANNA RD EAST SIDE,43.712095,-79.371563,eastbound,19
EGLINTON AVE EAST AT RUMSEY RD,43.712456,-79.369755,eastbound,6
EGLINTON AVE EAST AT RUMSEY RD,43.712675,-79.369465,westbound,3
EGLINTON AVE EAST AT SUTHERLAND DR,43.712965,-79.367323,eastbound,8
EGLINTON AVE EAST AT SUTHERLAND DR,43.713201,-79.36698,westbound,18
EGLINTON AVE EAST AT LAIRD DR,43.713371,-79.365372,eastbound,15
EGLINTON AVE EAST AT LAIRD DR WEST SIDE,43.713582,-79.365203,westbound,1
EGLINTON AVE EAST AT DON AVON DR,43.713918,-79.362496,eastbound,11
EGLINTON AVE EAST AT DON AVON DR,43.714217,-79.362093,westbound,3
EGLINTON AVE EAST AT BRENTCLIFFE RD WEST SIDE,43.714625,-79.360121,westbound,17
EGLINTON AVE EAST AT BRENTCLIFFE RD,43.714457,-79.359905,eastbound,11
EGLINTON AVE EAST AT LESLIE ST WEST SIDE,43.717134,-79.3502,westbound,9
EGLINTON AVE EAST AT LESLIE ST EAST SIDE,43.716917,-79.34976,eastbound,1
EGLINTON AVE EAST AT DON MILLS RD WEST SIDE,43.720462,-79.339864,eastbound,4
EGLINTON AVE EAST AT DON MILLS RD EAST SIDE,43.720546,-79.337734,westbound,7
EGLINTON AVE EAST AT DON VALLEY PKWY WEST SIDE,43.722361,-79.332371,eastbound,4
EGLINTON AVE EAST AT DON VALLEY PKWY WEST SIDE,43.722963,-79.331434,westbound,6
EGLINTON AVE EAST AT DON VALLEY PKWY EAST SIDE,43.72333,-79.328922,eastbound,3
EGLINTON AVE EAST AT DON VALLEY PKWY EAST SIDE,43.723734,-79.328441,westbound,6
EGLINTON AVE EAST AT WYNFORD DR WEST SIDE,43.724348,-79.32617,westbound,11
EGLINTON AVE EAST AT WYNFORD DR,43.72418,-79.325533,eastbound,9
EGLINTON AVE EAST AT CREDIT UNION DR,43.725943,-79.318405,eastbound,4
EGLINTON AVE EAST AT SWIFT DR,43.726325,-79.318099,westbound,4
EGLINTON AVE EAST AT BERMONDSEY RD,43.725907,-79.3138,eastbound,20
EGLINTON AVE EAST AT SLOANE AVE,43.726134,-79.313172,westbound,17
EGLINTON AVE EAST AT JONESVILLE CRES EAST SIDE,43.724922,-79.306962,eastbound,14
EGLINTON AVE EAST AT JONESVILLE CRES,43.725127,-79.306649,westbound,2
EGLINTON AVE EAST AT VICTORIA PARK AVE,43.724858,-79.303672,westbound,3
EGLINTON AVE EAST AT VICTORIA PARK AVE,43.724837,-79.302367,eastbound,4
EGLINTON AVE EAST AT VICTORIA PARK AVE EAST SIDE,43.72457,-79.302094,eastbound,5
EGLINTON AVE EAST AT EGLINTON SQ,43.725114,-79.300489,westbound,12
EGLINTON AVE EAST AT PHARMACY AVE,43.725855,-79.297172,westbound,5
EGLINTON AVE EAST AT PHARMACY AVE EAST SIDE,43.725616,-79.296932,eastbound,7
1900 EGLINTON AVE EAST,43.726568,-79.293832,eastbound,13
1901 EGLINTON AVE EAST,43.726723,-79.291936,westbound,6
EGLINTON AVE EAST AT LEBOVIC AVE,43.727116,-79.291325,westbound,4
EGLINTON AVE EAST AT LEBOVIC AVE EAST SIDE,43.726941,-79.290955,eastbound,4
EGLINTON AVE EAST AT WARDEN AVE,43.727633,-79.287859,eastbound,17
EGLINTON AVE EAST AT WARDEN AVE,43.72804,-79.28733,westbound,7
EGLINTON AVE EAST AT PRUDHAM GATE,43.728248,-79.285087,eastbound,19
EGLINTON AVE EAST AT PRUDHAM GATE,43.728602,-79.284686,westbound,13
OPPOSITE 2001 EGLINTON AVE EAST,43.729,-79.28304,westbound,2
1995 EGLINTON AVE EAST,43.728765,-79.28281,eastbound,20
EGLINTON AVE EAST AT THERMOS RD,43.729428,-79.281029,westbound,10
EGLINTON AVE EAST AT SINNOTT RD,43.72919,-79.280808,eastbound,19
EGLINTON AVE EAST AT BIRCHMOUNT RD,43.729763,-79.278138,eastbound,8
EGLINTON AVE EAST AT BIRCHMOUNT RD,43.730169,-79.277553,westbound,12
EGLINTON AVE EAST AT ROSEMOUNT DR,43.730673,-79.273945,eastbound,1
EGLINTON AVE EAST AT ROSEMOUNT DR,43.730969,-79.273818,westbound,8
EGLINTON AVE EAST AT IONVIEW RD,43.731274,-79.27128,eastbound,4
EGLINTON AVE EAST AT IONVIEW RD,43.731605,-79.271119,westbound,8
EGLINTON AVE EAST AT KENNEDY RD,43.732009,-79.268205,eastbound,16
EGLINTON AVE EAST AT KENNEDY RD,43.732414,-79.267746,westbound,10
EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,43.734493,-79.258911,westbound,9
EGLINTON AVE EAST AT MIDLAND AVE,43.73431,-79.258468,eastbound,8
EGLINTON AVE EAST AT MIDLAND AVE,43.734712,-79.257961,eastbound,12
EGLINTON AVE EAST AT FALMOUTH AVE,43.735453,-79.253308,westbound,19
EGLINTON AVE EAST AT GILDER DR,43.735775,-79.25309,eastbound,10
EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,43.736674,-79.248799,westbound,3
EGLINTON AVE EAST AT BRIMLEY RD,43.736505,-79.248274,eastbound,3
EGLINTON AVE EAST AT DANFORTH RD,43.736844,-79.246727,westbound,3
EGLINTON AVE EAST AT DANFORTH RD,43.737338,-79.245756,eastbound,14
EGLINTON AVE EAST AT MCCOWAN RD,43.738651,-79.238637,westbound,20
EGLINTON AVE EAST AT MCCOWAN RD,43.73901,-79.238255,eastbound,1
EGLINTON AVE EAST AT MASON RD,43.741584,-79.225483,westbound,20
EGLINTON AVE EAST AT MASON RD,43.74198,-79.225001,eastbound,4
EGLINTON AVE EAST AT MARKHAM RD,43.742993,-79.219193,westbound,7
EGLINTON AVE EAST AT MARKHAM RD,43.743382,-79.218658,eastbound,8
EGLINTON AVE EAST AT KINGSTON RD WEST SIDE,43.744079,-79.212339,westbound,5
EGLINTON AVE EAST AT KINGSTON RD,43.743796,-79.212135,null,6
